No,일시,조성,P/B Ratio,바인더 함량,소포제 함량,최종 온도,점도,코팅 속도,Gap,실내 온도,실내 습도,두께1,두께2,두께3,두께4,두께5,평균 두께,시트 두께,표준 편차,표준 편차,비고
1,2018-08-23,Al2O3,0.45,24,0.97,90,1000,0.5,100,22,49,124,123,123,123,123,123.2,48.2,0.4,0.3,
2,2018-08-23,Al2O3,0.45,24,0.97,90,1000,0.5,300,22,49,180,182,181,180,180,180.6,105.6,0.8,0.4,
3,2018-08-23,Al2O3,0.45,24,0.97,90,1000,0.5,500,22,49,230,226,231,228,227,228.4,153.4,1.9,0.8,
4,2018-08-23,Al2O3,0.45,24,0.97,90,1000,0.5,700,22,49,260,259,256,262,254,258.2,183.2,2.9,1.1,
5,2018-08-23,Al2O3,0.45,24,0.97,90,1000,0.5,1000,22,49,234,243,243,238,236,238.8,163.8,3.7,1.5,번짐
6,2018-08-23,Al2O3,0.45,24,0.97,90,1000,0.7,100,22,49,123,122,122,122,122,122.2,47.2,0.4,0.3,
7,2018-08-23,Al2O3,0.45,24,0.97,90,1000,0.7,300,22,49,183,183,185,182,181,182.8,107.8,1.3,0.7,
8,2018-08-23,Al2O3,0.45,24,0.97,90,1000,0.7,500,22,49,232,235,235,236,231,233.8,158.8,1.9,0.8,
9,2018-08-23,Al2O3,0.45,24,0.97,90,1000,0.7,700,22,49,268,263,267,265,270,266.6,191.6,2.4,0.9,
10,2018-08-23,Al2O3,0.45,24,0.97,90,1000,0.7,1000,22,49,260,259,260,260,258,259.4,184.4,0.8,0.3,Pore(S)
11,2018-08-23,Al2O3,0.45,24,0.97,90,1000,1,100,22,49,123,123,123,122,123,122.8,47.8,0.4,0.3,
12,2018-08-23,Al2O3,0.45,24,0.97,90,1000,1,300,22,49,183,183,183,183,182,182.8,107.8,0.4,0.2,
13,2018-08-23,Al2O3,0.45,24,0.97,90,1000,1,500,22,49,242,238,242,238,242,240.4,165.4,2,0.8,
14,2018-08-23,Al2O3,0.45,24,0.97,90,1000,1,700,22,49,282,283,280,284,280,281.8,206.8,1.6,0.6,Pore(S)
15,2018-08-23,Al2O3,0.45,24,0.97,90,1000,1,1000,22,49,333,330,334,425,424,369.2,294.2,45.2,12.2,Pore(M)
16,2018-08-23,Al2O3,0.45,24,0.97,90,1000,2,100,22,49,123,123,122,122,122,122.4,47.4,0.5,0.4,
17,2018-08-23,Al2O3,0.45,24,0.97,90,1000,2,300,22,49,186,186,186,186,187,186.2,111.2,0.4,0.2,
18,2018-08-23,Al2O3,0.45,24,0.97,90,1000,2,500,22,49,246,243,248,280,294,262.2,187.2,20.8,7.9,Pore(M)
19,2018-08-23,Al2O3,0.45,24,0.97,90,1000,2,700,22,49,305,298,300,480,240,324.6,249.6,81.2,25,Pore(L)
20,2018-08-23,Al2O3,0.45,24,0.97,90,1000,2,1000,22,49,측정불가,측정불가,측정불가,측정불가,측정불가,측정불가,측정불가,측정불가,측정불가,Pore(XL)
21,2018-08-23,Al2O3,0.45,24,0.97,90,3300,0.5,100,22,49,124,124,124,124,124,124,49,0,0,
22,2018-08-23,Al2O3,0.45,24,0.97,90,3300,0.5,300,22,49,199,199,199,198,199,198.8,123.8,0.4,0.2,
23,2018-08-23,Al2O3,0.45,24,0.97,90,3300,0.5,500,22,49,272,273,271,272,273,272.2,197.2,0.7,0.3,
24,2018-08-23,Al2O3,0.45,24,0.97,90,3300,0.5,700,22,49,330,332,334,333,338,333.4,258.4,2.7,0.8,Pore(S)
25,2018-08-23,Al2O3,0.45,24,0.97,90,3300,0.5,1000,22,49,410,415,414,456,441,427.2,352.2,18.1,4.2,Pore(M)
26,2018-08-23,Al2O3,0.45,24,0.97,90,3300,0.7,100,22,49,122,122,122,122,122,122,47,0,0,
27,2018-08-23,Al2O3,0.45,24,0.97,90,3300,0.7,300,22,49,201,201,201,201,200,200.8,125.8,0.4,0.2,
28,2018-08-23,Al2O3,0.45,24,0.97,90,3300,0.7,500,22,49,277,274,274,277,278,276,201,1.7,0.6,
29,2018-08-23,Al2O3,0.45,24,0.97,90,3300,0.7,700,22,49,340,341,352,341,351,345,270,5.3,1.5,Pore(S)
30,2018-08-23,Al2O3,0.45,24,0.97,90,3300,0.7,1000,22,49,427,429,517,469,543,477,402,46.5,9.8,Pore(L)
31,2018-08-23,Al2O3,0.45,24,0.97,90,3300,1,100,22,49,123,123,123,123,122,122.8,47.8,0.4,0.3,
32,2018-08-23,Al2O3,0.45,24,0.97,90,3300,1,300,22,49,202,203,202,202,201,202,127,0.6,0.3,
33,2018-08-23,Al2O3,0.45,24,0.97,90,3300,1,500,22,49,280,279,280,281,281,280.2,205.2,0.7,0.3,Pore(S)
34,2018-08-23,Al2O3,0.45,24,0.97,90,3300,1,700,22,49,344,352,381,395,349,364.2,289.2,20.1,5.5,Pore(M)
35,2018-08-23,Al2O3,0.45,24,0.97,90,3300,1,1000,22,49,440,439,691,619,438,525.4,450.4,108.2,20.6,Pore(L)
36,2018-08-23,Al2O3,0.45,24,0.97,90,3300,2,100,22,49,123,123,123,122,122,122.6,47.6,0.5,0.4,
37,2018-08-23,Al2O3,0.45,24,0.97,90,3300,2,300,22,49,204,202,202,203,204,203,128,0.9,0.4,
38,2018-08-23,Al2O3,0.45,24,0.97,90,3300,2,500,22,49,277,276,315,315,277,292,217,18.8,6.4,Pore(M)
39,2018-08-23,Al2O3,0.45,24,0.97,90,3300,2,700,22,49,350,350,442,428,346,383.2,308.2,42.6,11.1,Pore(L)
40,2018-08-23,Al2O3,0.45,24,0.97,90,3300,2,1000,22,49,403,520,531,522,580,511.2,436.2,58.4,11.4,Pore(XL)
41,2018-08-23,Al2O3,0.45,24,0.97,90,6000,0.5,100,22,49,126,126,125,125,125,125.4,50.4,0.5,0.4,
42,2018-08-23,Al2O3,0.45,24,0.97,90,6000,0.5,300,22,49,206,206,205,205,205,205.4,130.4,0.5,0.2,
43,2018-08-23,Al2O3,0.45,24,0.97,90,6000,0.5,500,22,49,288,287,286,286,287,286.8,211.8,0.7,0.3,Pore(S)
44,2018-08-23,Al2O3,0.45,24,0.97,90,6000,0.5,700,22,49,342,346,351,351,363,350.6,275.6,7.1,2,"Pore(S), 번짐"
45,2018-08-23,Al2O3,0.45,24,0.97,90,6000,0.5,1000,22,49,489,481,523,556,495,508.8,433.8,27.5,5.4,Pore(L)
46,2018-08-23,Al2O3,0.45,24,0.97,90,6000,0.7,100,22,49,122,122,122,122,122,122,47,0,0,
47,2018-08-23,Al2O3,0.45,24,0.97,90,6000,0.7,300,22,49,210,210,210,212,211,210.6,135.6,0.8,0.4,
48,2018-08-23,Al2O3,0.45,24,0.97,90,6000,0.7,500,22,49,284,285,286,286,290,286.2,211.2,2,0.7,Pore(S)
49,2018-08-23,Al2O3,0.45,24,0.97,90,6000,0.7,700,22,49,360,360,383,375,372,370,295,8.9,2.4,Pore(M)
50,2018-08-23,Al2O3,0.45,24,0.97,90,6000,0.7,1000,22,49,469,840,469,617,646,608.2,533.2,137.1,22.5,Pore(L)
51,2018-08-23,Al2O3,0.45,24,0.97,90,6000,1,100,22,49,122,123,123,123,123,122.8,47.8,0.4,0.3,
52,2018-08-23,Al2O3,0.45,24,0.97,90,6000,1,300,22,49,206,207,207,207,207,206.8,131.8,0.4,0.2,
53,2018-08-23,Al2O3,0.45,24,0.97,90,6000,1,500,22,49,291,291,293,297,294,293.2,218.2,2.2,0.8,Pore(S)
54,2018-08-23,Al2O3,0.45,24,0.97,90,6000,1,700,22,49,366,431,381,367,404,389.8,314.8,24.7,6.3,Pore(M)
55,2018-08-23,Al2O3,0.45,24,0.97,90,6000,1,1000,22,49,812,878,585,472,673,684,609,147.6,21.6,Pore(L)
56,2018-08-23,Al2O3,0.45,24,0.97,90,6000,2,100,22,49,126,126,126,126,126,126,51,0,0,
57,2018-08-23,Al2O3,0.45,24,0.97,90,6000,2,300,22,49,211,211,212,210,211,211,136,0.6,0.3,
58,2018-08-23,Al2O3,0.45,24,0.97,90,6000,2,500,22,49,292,291,312,324,317,307.2,232.2,13.4,4.4,Pore(M)
59,2018-08-23,Al2O3,0.45,24,0.97,90,6000,2,700,22,49,365,372,574,421,429,432.2,357.2,75.3,17.4,Pore(L)
